timestamp,machine_id,cpu_util_actual,mem_util_actual,Arrival_Rate,CPU_Delayed,CPU_Slope,Queue_Length,Target_CPU_Future
2,Server_00,0.2680192812464425,0.36383079726977113,2.0,0.3062462484673899,-0.022388883037632146,3,0.3911066534152087
3,Server_00,0.33466043886532487,0.42837828704969927,5.0,0.2904081642840746,0.0666411576188824,4,0.4546464606033942
4,Server_00,0.3001938570297064,0.39181872628386655,3.0,0.2680192812464425,-0.03446658183561846,3,0.4217903622660757
5,Server_00,0.34469194194422237,0.43422475069563365,4.0,0.33466043886532487,0.044498084914515956,4,0.37713538787597944
6,Server_00,0.39305897441924664,0.480500870513384,3.0,0.3001938570297064,0.048367032475024274,4,0.45678841699090894
7,Server_00,0.35211063777055307,0.4374629983450268,3.0,0.34469194194422237,-0.04094833664869357,3,0.4826708226346535
8,Server_00,0.3499380592419671,0.43320249057550403,1.0,0.39305897441924664,-0.002172578528585989,2,0.3416676729068566
9,Server_00,0.2965454069508948,0.37772374428719196,4.0,0.35211063777055307,-0.05339265229107226,4,0.36393857847285116
10,Server_00,0.29448160557365444,0.37357591292012376,2.0,0.3499380592419671,-0.002063801377240382,3,0.37107594809749606
11,Server_00,0.3631317971955281,0.4401443670969548,1.0,0.2965454069508948,0.06865019162187369,2,0.324014908734413
12,Server_00,0.3122890854935229,0.3872224387806621,1.0,0.29448160557365444,-0.05084271170200522,2,0.3982048068689568
13,Server_00,0.37763985585543225,0.45049674136857143,3.0,0.3631317971955281,0.06535077036190934,4,0.3648566179291007
14,Server_00,0.3002819519361896,0.37106534622370735,0.0,0.3122890854935229,-0.07735790391924263,2,0.3589019505821266
15,Server_00,0.30700214300653383,0.3757152499984877,2.0,0.37763985585543225,0.006720191070344217,3,0.3529410165667326
16,Server_00,0.2658136161484692,0.3324598668052488,2.0,0.3002819519361896,-0.04118852685806462,3,0.38133894244398536
17,Server_00,0.3599623465617534,0.4245453984978368,1.0,0.30700214300653383,0.0941487304132842,2,0.386092103461547
18,Server_00,0.36999685520782677,0.43252059229068196,1.0,0.2658136161484692,0.010034508646073359,2,0.3605017383604528
19,Server_00,0.34222508206902463,0.4026936139931994,1.0,0.3599623465617534,-0.027771773138802136,2,0.40052637611358055
20,Server_00,0.3819055829769984,0.44032324481344653,5.0,0.36999685520782677,0.03968050090797376,5,0.4009084942894513
21,Server_00,0.40916438398504157,0.4655357357057331,6.0,0.34222508206902463,0.027258801008043176,6,0.38813209962467976
22,Server_00,0.3131894164491637,0.3675192424270326,3.0,0.3819055829769984,-0.09597496753587786,3,0.44442997386601635
23,Server_00,0.375134144218987,0.42742745270327087,2.0,0.40916438398504157,0.06194472776982329,4,0.3479513737673846
24,Server_00,0.3545897527639956,0.4048517753310247,0.0,0.3131894164491637,-0.020544391454991373,2,0.4552551155387308
25,Server_00,0.3647287722896285,0.41296496326912446,3.0,0.375134144218987,0.010139019525632897,3,0.4120241330438475
26,Server_00,0.38005165118084633,0.4262676870577932,6.0,0.3545897527639956,0.015322878891217806,6,0.39957882880440676
27,Server_00,0.403618477966039,0.44782025675819315,3.0,0.3647287722896285,0.023566826785192674,4,0.4808276808546692
28,Server_00,0.3313659894566773,0.373559630067783,3.0,0.38005165118084633,-0.07225248850936172,3,0.4129001212606183
29,Server_00,0.3193144972764296,0.35950633882521227,2.0,0.403618477966039,-0.012051492180247703,3,0.39219338299179385
30,Server_00,0.3708569119211229,0.40905351304613347,2.0,0.3313659894566773,0.051542414644693335,3,0.47655059179174564
31,Server_00,0.443387420239648,0.47959555838003404,2.0,0.3193144972764296,0.07253050831852509,4,0.4035496651847074
32,Server_00,0.3911066534152087,0.4253333240674921,3.0,0.3708569119211229,-0.05228076682443927,4,0.4820436743983169
33,Server_00,0.4546464606033942,0.48689887655433595,0.0,0.443387420239648,0.06353980718818547,3,0.415682223310371
34,Server_00,0.4217903622660757,0.4520759528017127,3.0,0.3911066534152087,-0.03285609833731851,4,0.5227749881216766
35,Server_00,0.37713538787597944,0.40546179796691945,2.0,0.4546464606033942,-0.04465497439009625,4,0.41981842750710857
36,Server_00,0.45678841699090894,0.4831635064539734,4.0,0.4217903622660757,0.0796530291149295,5,0.3774982767342151
